ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
3	1440032124595	1440032124907	1440032124970	312	47	0	375	63
8	1440032124673	1440032124985	1440032125001	312	0	0	328	16
8	1440032124673	1440032124985	1440032125001	312	16	0	328	16
8	1440032124673	1440032124985	1440032125017	312	16	0	344	32
8	1440032124673	1440032124985	1440032125017	312	16	0	344	32
8	1440032124673	1440032124985	1440032125017	312	32	0	344	32
2	1440032124689	1440032125017	1440032125032	328	0	0	343	15
7	1440032124735	1440032125032	1440032125032	297	0	0	297	0
10	1440032124782	1440032125032	1440032125048	250	16	0	266	16
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
5	1440032821761	1440032822120	1440032822167	359	31	0	406	47
5	1440032821761	1440032822120	1440032822183	359	47	0	422	63
5	1440032821761	1440032822120	1440032822183	359	47	0	422	63
1	1440032821776	1440032822183	1440032822198	407	0	0	422	15
7	1440032821886	1440032822198	1440032822198	312	0	0	312	0
7	1440032821886	1440032822198	1440032822214	312	0	0	328	16
8	1440032821979	1440032822214	1440032822214	235	0	0	235	0
8	1440032821979	1440032822214	1440032822229	235	0	0	250	15
9	1440032821995	1440032822229	1440032822229	234	0	0	234	0
10	1440032822058	1440032822229	1440032822245	171	16	0	187	16
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440035216142	1440035216236	1440035216267	94	16	0	125	31
2	1440035216408	1440035216549	1440035216549	141	0	0	141	0
3	1440035216658	1440035216752	1440035216767	94	0	0	109	15
4	1440035216924	1440035217002	1440035217017	78	15	0	93	15
5	1440035217189	1440035217267	1440035217283	78	16	0	94	16
6	1440035217455	1440035217533	1440035217549	78	16	0	94	16
7	1440035217721	1440035217799	1440035217799	78	0	0	78	0
8	1440035217971	1440035218049	1440035218064	78	0	0	93	15
9	1440035218236	1440035218314	1440035218346	78	32	0	110	32
10	1440035218502	1440035218580	1440035218596	78	0	0	94	16
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440036334857	1440036334950	1440036334982	93	16	0	125	32
2	1440036335060	1440036335138	1440036335154	78	16	0	94	16
3	1440036335263	1440036335341	1440036335357	78	16	0	94	16
4	1440036335450	1440036335560	1440036335560	110	0	0	110	0
5	1440036335654	1440036335732	1440036335747	78	15	0	93	15
6	1440036335857	1440036335950	1440036335950	93	0	0	93	0
7	1440036336060	1440036336138	1440036336154	78	16	0	94	16
8	1440036336263	1440036336357	1440036336357	94	0	0	94	0
9	1440036336466	1440036336560	1440036336575	94	15	0	109	15
10	1440036336669	1440036336747	1440036336763	78	16	0	94	16
