ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440032847510	1440032847854	1440032847885	344	31	0	375	31
6	1440032847573	1440032847885	1440032847901	312	16	0	328	16
6	1440032847573	1440032847885	1440032847901	312	16	0	328	16
2	1440032847620	1440032847901	1440032847917	281	16	0	297	16
2	1440032847620	1440032847901	1440032847917	281	16	0	297	16
4	1440032847651	1440032847917	1440032847932	266	15	0	281	15
7	1440032847667	1440032847932	1440032847948	265	0	0	281	16
8	1440032847745	1440032847932	1440032847948	187	16	0	203	16
9	1440032847760	1440032847948	1440032847948	188	0	0	188	0
10	1440032847807	1440032847948	1440032847964	141	16	0	157	16
