ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
2	1440032130267	1440032130533	1440032130642	266	31	0	375	109
6	1440032130329	1440032130579	1440032130658	250	16	0	329	79
6	1440032130329	1440032130579	1440032130658	250	47	0	329	79
5	1440032130345	1440032130626	1440032130673	281	16	0	328	47
5	1440032130345	1440032130626	1440032130689	281	16	0	344	63
4	1440032130361	1440032130658	1440032130689	297	15	0	328	31
10	1440032130486	1440032130673	1440032130689	187	16	0	203	16
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
2	1440032827480	1440032827777	1440032827886	297	31	0	406	109
2	1440032827480	1440032827777	1440032827886	297	46	0	406	109
2	1440032827480	1440032827777	1440032827886	297	62	0	406	109
4	1440032827511	1440032827839	1440032827902	328	16	0	391	63
6	1440032827589	1440032827855	1440032827902	266	15	0	313	47
7	1440032827636	1440032827886	1440032827917	250	16	0	281	31
7	1440032827636	1440032827886	1440032827917	250	16	0	281	31
9	1440032827683	1440032827902	1440032827933	219	15	0	250	31
9	1440032827683	1440032827902	1440032827933	219	15	0	250	31
10	1440032827730	1440032827933	1440032827948	203	0	0	218	15
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440035221783	1440035221877	1440035221877	94	0	0	94	0
2	1440035222049	1440035222127	1440035222143	78	0	0	94	16
3	1440035222299	1440035222377	1440035222393	78	16	0	94	16
4	1440035222565	1440035222643	1440035222643	78	0	0	78	0
5	1440035222815	1440035222893	1440035222908	78	0	0	93	15
6	1440035223080	1440035223158	1440035223174	78	0	0	94	16
7	1440035223330	1440035223408	1440035223424	78	16	0	94	16
8	1440035223596	1440035223674	1440035223690	78	16	0	94	16
9	1440035223861	1440035223940	1440035223955	79	0	0	94	15
10	1440035224111	1440035224190	1440035224205	79	0	0	94	15
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440036339451	1440036339544	1440036339544	93	0	0	93	0
2	1440036339638	1440036339732	1440036339732	94	0	0	94	0
3	1440036339841	1440036339935	1440036339935	94	0	0	94	0
4	1440036340044	1440036340138	1440036340138	94	0	0	94	0
5	1440036340248	1440036340341	1440036340357	93	0	0	109	16
6	1440036340451	1440036340544	1440036340544	93	0	0	93	0
7	1440036340654	1440036340748	1440036340763	94	0	0	109	15
8	1440036340857	1440036340935	1440036340951	78	16	0	94	16
9	1440036341060	1440036341169	1440036341169	109	0	0	109	0
10	1440036341263	1440036341341	1440036341357	78	16	0	94	16
