ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
4	1440032127486	1440032127751	1440032127814	265	47	0	328	63
4	1440032127486	1440032127751	1440032127829	265	47	0	343	78
5	1440032127501	1440032127798	1440032127829	297	16	0	328	31
5	1440032127501	1440032127798	1440032127845	297	16	0	344	47
3	1440032127564	1440032127829	1440032127845	265	0	0	281	16
6	1440032127579	1440032127845	1440032127861	266	0	0	282	16
7	1440032127611	1440032127845	1440032127861	234	16	0	250	16
7	1440032127611	1440032127845	1440032127861	234	16	0	250	16
8	1440032127689	1440032127861	1440032127876	172	0	0	187	15
10	1440032127751	1440032127892	1440032127892	141	0	0	141	0
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
5	1440032824683	1440032824901	1440032824980	218	32	0	297	79
5	1440032824683	1440032824901	1440032824995	218	47	0	312	94
5	1440032824683	1440032824901	1440032825011	218	63	0	328	110
5	1440032824683	1440032824901	1440032825011	218	63	0	328	110
7	1440032824745	1440032824980	1440032825026	235	0	0	281	46
7	1440032824745	1440032824980	1440032825026	235	31	0	281	46
6	1440032824776	1440032825011	1440032825026	235	15	0	250	15
9	1440032824808	1440032825026	1440032825042	218	16	0	234	16
10	1440032824933	1440032825073	1440032825073	140	0	0	140	0
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440035218971	1440035219049	1440035219064	78	0	0	93	15
2	1440035219221	1440035219299	1440035219346	78	31	0	125	47
3	1440035219486	1440035219564	1440035219580	78	0	0	94	16
4	1440035219736	1440035219814	1440035219846	78	16	0	110	32
5	1440035220018	1440035220096	1440035220096	78	0	0	78	0
6	1440035220268	1440035220361	1440035220361	93	0	0	93	0
7	1440035220533	1440035220611	1440035220627	78	16	0	94	16
8	1440035220783	1440035220877	1440035220877	94	0	0	94	0
9	1440035221049	1440035221127	1440035221143	78	0	0	94	16
10	1440035221299	1440035221377	1440035221393	78	16	0	94	16
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440036337138	1440036337216	1440036337232	78	16	0	94	16
2	1440036337341	1440036337544	1440036337544	203	0	0	203	0
3	1440036337544	1440036337622	1440036337638	78	16	0	94	16
4	1440036337747	1440036337826	1440036337841	79	15	0	94	15
5	1440036337951	1440036338044	1440036338060	93	16	0	109	16
6	1440036338154	1440036338232	1440036338247	78	15	0	93	15
7	1440036338357	1440036338435	1440036338451	78	16	0	94	16
8	1440036338560	1440036338638	1440036338654	78	16	0	94	16
9	1440036338763	1440036338857	1440036338872	94	0	0	109	15
10	1440036338966	1440036339060	1440036339060	94	0	0	94	0
