ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440032853158	1440032853517	1440032853548	359	31	0	390	31
2	1440032853236	1440032853548	1440032853579	312	16	0	343	31
6	1440032853283	1440032853564	1440032853595	281	15	0	312	31
6	1440032853283	1440032853564	1440032853595	281	15	0	312	31
7	1440032853283	1440032853595	1440032853611	312	0	0	328	16
9	1440032853345	1440032853611	1440032853611	266	0	0	266	0
9	1440032853345	1440032853611	1440032853611	266	0	0	266	0
5	1440032853345	1440032853611	1440032853626	266	0	0	281	15
10	1440032853423	1440032853626	1440032853626	203	0	0	203	0
