ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
3	1440032138827	1440032139108	1440032139186	281	15	0	359	78
3	1440032138827	1440032139108	1440032139202	281	31	0	375	94
2	1440032138889	1440032139139	1440032139202	250	31	0	313	63
2	1440032138889	1440032139139	1440032139233	250	47	0	344	94
7	1440032138952	1440032139186	1440032139233	234	0	0	281	47
6	1440032138967	1440032139202	1440032139233	235	15	0	266	31
6	1440032138967	1440032139202	1440032139248	235	31	0	281	46
9	1440032139030	1440032139233	1440032139248	203	0	0	218	15
8	1440032139030	1440032139233	1440032139248	203	15	0	218	15
10	1440032139186	1440032139311	1440032139311	125	0	0	125	0
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
3	1440032836104	1440032836447	1440032836572	343	63	0	468	125
5	1440032836276	1440032836510	1440032836588	234	16	0	312	78
5	1440032836276	1440032836510	1440032836604	234	31	0	328	94
5	1440032836276	1440032836510	1440032836604	234	31	0	328	94
7	1440032836322	1440032836557	1440032836604	235	15	0	282	47
7	1440032836322	1440032836557	1440032836619	235	15	0	297	62
6	1440032836338	1440032836588	1440032836619	250	16	0	281	31
8	1440032836369	1440032836604	1440032836635	235	15	0	266	31
10	1440032836447	1440032836635	1440032836651	188	0	0	204	16
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440036346310	1440036346404	1440036346420	94	0	0	110	16
2	1440036346529	1440036346623	1440036346623	94	0	0	94	0
3	1440036346732	1440036346810	1440036346826	78	16	0	94	16
4	1440036346935	1440036347029	1440036347045	94	0	0	110	16
5	1440036347138	1440036347232	1440036347248	94	16	0	110	16
6	1440036347342	1440036347435	1440036347435	93	0	0	93	0
7	1440036347545	1440036347639	1440036347654	94	15	0	109	15
8	1440036347748	1440036347826	1440036347842	78	0	0	94	16
9	1440036347951	1440036348029	1440036348045	78	16	0	94	16
10	1440036348154	1440036348232	1440036348248	78	0	0	94	16
