ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
3	1440032147437	1440032147718	1440032147859	281	78	0	422	141
1	1440032147453	1440032147796	1440032147859	343	16	0	406	63
5	1440032147546	1440032147828	1440032147875	282	15	0	329	47
5	1440032147546	1440032147828	1440032147875	282	31	0	329	47
7	1440032147625	1440032147859	1440032147875	234	0	0	250	16
7	1440032147625	1440032147859	1440032147890	234	16	0	265	31
9	1440032147656	1440032147875	1440032147890	219	15	0	234	15
9	1440032147656	1440032147875	1440032147890	219	15	0	234	15
6	1440032147718	1440032147906	1440032147906	188	0	0	188	0
10	1440032147781	1440032147921	1440032147937	140	0	0	156	16
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
3	1440032844682	1440032844995	1440032845057	313	47	0	375	62
3	1440032844682	1440032844995	1440032845057	313	47	0	375	62
3	1440032844682	1440032844995	1440032845057	313	62	0	375	62
6	1440032844792	1440032845057	1440032845073	265	0	0	281	16
5	1440032844807	1440032845073	1440032845073	266	0	0	266	0
9	1440032844854	1440032845073	1440032845088	219	15	0	234	15
9	1440032844854	1440032845073	1440032845088	219	15	0	234	15
9	1440032844854	1440032845073	1440032845088	219	15	0	234	15
8	1440032844917	1440032845088	1440032845104	171	16	0	187	16
10	1440032844979	1440032845120	1440032845120	141	0	0	141	0
