ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440032144671	1440032144953	1440032145015	282	31	0	344	62
2	1440032144687	1440032144984	1440032145015	297	15	0	328	31
4	1440032144718	1440032144999	1440032145046	281	16	0	328	47
7	1440032144765	1440032145015	1440032145046	250	16	0	281	31
7	1440032144765	1440032145015	1440032145062	250	16	0	297	47
5	1440032144796	1440032145046	1440032145062	250	0	0	266	16
5	1440032144796	1440032145046	1440032145062	250	16	0	266	16
9	1440032144812	1440032145062	1440032145078	250	0	0	266	16
10	1440032144843	1440032145062	1440032145078	219	16	0	235	16
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
4	1440032841870	1440032842120	1440032842213	250	46	0	343	93
2	1440032841885	1440032842166	1440032842213	281	16	0	328	47
1	1440032841885	1440032842182	1440032842229	297	31	0	344	47
3	1440032841932	1440032842213	1440032842229	281	16	0	297	16
6	1440032841948	1440032842229	1440032842245	281	16	0	297	16
5	1440032841979	1440032842245	1440032842260	266	15	0	281	15
7	1440032842026	1440032842260	1440032842276	234	16	0	250	16
10	1440032842088	1440032842276	1440032842276	188	0	0	188	0
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440036350936	1440036351014	1440036351029	78	0	0	93	15
2	1440036351139	1440036351232	1440036351248	93	0	0	109	16
3	1440036351342	1440036351420	1440036351436	78	16	0	94	16
4	1440036351545	1440036351639	1440036351639	94	0	0	94	0
5	1440036351748	1440036351826	1440036351842	78	0	0	94	16
6	1440036351951	1440036352045	1440036352045	94	0	0	94	0
7	1440036352154	1440036352232	1440036352248	78	16	0	94	16
8	1440036352357	1440036352436	1440036352451	79	15	0	94	15
9	1440036352561	1440036352639	1440036352654	78	15	0	93	15
10	1440036352764	1440036352842	1440036352858	78	0	0	94	16
