ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440032136014	1440032136326	1440032136373	312	16	0	359	47
1	1440032136014	1440032136326	1440032136373	312	32	0	359	47
1	1440032136014	1440032136326	1440032136389	312	47	0	375	63
6	1440032136076	1440032136373	1440032136389	297	16	0	313	16
6	1440032136076	1440032136373	1440032136405	297	16	0	329	32
5	1440032136092	1440032136389	1440032136405	297	16	0	313	16
9	1440032136123	1440032136405	1440032136405	282	0	0	282	0
7	1440032136170	1440032136405	1440032136420	235	0	0	250	15
8	1440032136186	1440032136420	1440032136420	234	0	0	234	0
10	1440032136233	1440032136420	1440032136436	187	0	0	203	16
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
2	1440032833244	1440032833525	1440032833588	281	32	0	344	63
3	1440032833291	1440032833604	1440032833666	313	46	0	375	62
3	1440032833291	1440032833604	1440032833666	313	62	0	375	62
4	1440032833322	1440032833666	1440032833697	344	31	0	375	31
5	1440032833354	1440032833697	1440032833713	343	16	0	359	16
6	1440032833463	1440032833713	1440032833729	250	0	0	266	16
9	1440032833479	1440032833713	1440032833729	234	16	0	250	16
9	1440032833479	1440032833713	1440032833744	234	16	0	265	31
10	1440032833557	1440032833729	1440032833744	172	15	0	187	15
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440036344029	1440036344107	1440036344123	78	16	0	94	16
2	1440036344232	1440036344326	1440036344326	94	0	0	94	0
3	1440036344435	1440036344513	1440036344529	78	16	0	94	16
4	1440036344638	1440036344732	1440036344732	94	0	0	94	0
5	1440036344841	1440036344935	1440036344951	94	0	0	110	16
6	1440036345045	1440036345154	1440036345170	109	16	0	125	16
7	1440036345248	1440036345326	1440036345342	78	16	0	94	16
8	1440036345451	1440036345545	1440036345545	94	0	0	94	0
9	1440036345654	1440036345748	1440036345763	94	15	0	109	15
10	1440036345857	1440036345935	1440036345951	78	0	0	94	16
