ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440032850321	1440032850649	1440032850696	328	47	0	375	47
3	1440032850414	1440032850696	1440032850742	282	31	0	328	46
6	1440032850430	1440032850727	1440032850758	297	15	0	328	31
6	1440032850430	1440032850727	1440032850758	297	15	0	328	31
6	1440032850430	1440032850727	1440032850758	297	31	0	328	31
7	1440032850508	1440032850758	1440032850774	250	16	0	266	16
5	1440032850524	1440032850774	1440032850774	250	0	0	250	0
10	1440032850602	1440032850774	1440032850789	172	0	0	187	15
