ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
2	1440032133083	1440032133426	1440032133458	343	16	0	375	32
1	1440032133114	1440032133442	1440032133473	328	16	0	359	31
1	1440032133114	1440032133442	1440032133489	328	16	0	375	47
1	1440032133114	1440032133442	1440032133489	328	31	0	375	47
5	1440032133145	1440032133473	1440032133489	328	16	0	344	16
6	1440032133270	1440032133489	1440032133504	219	15	0	234	15
8	1440032133317	1440032133504	1440032133520	187	0	0	203	16
8	1440032133317	1440032133504	1440032133520	187	0	0	203	16
8	1440032133317	1440032133504	1440032133520	187	16	0	203	16
10	1440032133395	1440032133536	1440032133551	141	0	0	156	15
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
3	1440032830324	1440032830589	1440032830699	265	16	0	375	110
2	1440032830386	1440032830620	1440032830714	234	16	0	328	94
4	1440032830402	1440032830652	1440032830714	250	15	0	312	62
4	1440032830402	1440032830652	1440032830714	250	47	0	312	62
5	1440032830449	1440032830714	1440032830730	265	0	0	281	16
7	1440032830495	1440032830714	1440032830730	219	16	0	235	16
9	1440032830527	1440032830730	1440032830745	203	0	0	218	15
9	1440032830527	1440032830730	1440032830745	203	15	0	218	15
8	1440032830620	1440032830777	1440032830792	157	0	0	172	15
10	1440032830730	1440032830824	1440032830824	94	0	0	94	0
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440036341716	1440036341810	1440036341810	94	0	0	94	0
2	1440036341935	1440036342013	1440036342029	78	0	0	94	16
3	1440036342138	1440036342232	1440036342232	94	0	0	94	0
4	1440036342341	1440036342420	1440036342435	79	15	0	94	15
5	1440036342545	1440036342623	1440036342638	78	15	0	93	15
6	1440036342748	1440036342826	1440036342841	78	15	0	93	15
7	1440036342951	1440036343029	1440036343045	78	16	0	94	16
8	1440036343154	1440036343248	1440036343263	94	0	0	109	15
9	1440036343357	1440036343435	1440036343451	78	16	0	94	16
10	1440036343560	1440036343638	1440036343654	78	16	0	94	16
